Word,Engling Literal Meaning,Telugu Meaning,Computer Science Meaning,Telugu Meaning
,,,,
Variable,not consistent or having a fixed pattern,???????? ???? ???????? ??????? ????? ?????,a data item that may take on more than one value during the runtime of a program.,?? ?????????? ????? ??????? ?????? ???? ???? ?????? ???????? ???????? ?? ???? ????.
Code,"a system of words, letters, figures, or symbols used to represent others, especially for the purposes of secrecy.","???? ???????, ?????, ??????? ???? ????????, ??????? ????????????, ???????????? ?????? ????? ????????? ????",program instructions.,?????????? ??????.
Data,facts and statistics collected together for reference or analysis.,????????? ???? ???????? ???? ????????? ?????? ????? ????????.,a piece of information.,??????? ????? ????????
Process,a series of actions or steps taken in order to achieve a particular end,?? ????????? ??????? ???????????? ??????? ?????? ???? ????? ????,"an instance of a program being executed in a multitasking operating system, typically running in an environment that protects it from other processes.","??????? ??????? ????????? ???? ??????? ?????????? ????? ?? ??????, ????????? ??? ??? ????????? ????? ???????? ??????????? ??????????."
Stack,"a pile of objects, typically one that is neatly arranged","???????? ?????, ????????? ??????????? ???????????",a set of storage locations which store data in such a way that the most recently stored item is the first to be retrieved.,"????? ??????? ????? ??????? ?????, ????? ????? ??????? ??????? ?????? ???????? ???????."
Heap,an untidy collection of objects placed haphazardly on top of each other.,?? ???????? ???????? ????? ????? ??? ??? ????????????? ?????????.,a heap is an area of pre-reserved computer main storage ( memory ) that a program process can use to store data in some variable amount that won't be known until the program is running,"?? ????? ??????? ??????? ??????? ????????? ?????? ????? (?????) ????? ???????, ??? ?????????? ?????????? ????? ???? ?????? ????????? ?????????? ?????? ????? ????????? ?????????? ?????????? ?????????????"
Format,the way in which something is arranged or set out.,??? ??????? ???? ??????? ???? ?????? ??????,"a defined structure for the processing, storage, or display of data.","???? ????? ???????????, ????? ???? ???????? ???? ??????????? ????????."
Compiler,a person who produces a list or book by assembling information or written material collected from other sources.,??? ????? ????? ????????? ??????? ???? ?????????????? ???????? ????? ?????? ?????? ???? ??????????? ???????? ???? ???????.,a program that converts instructions into a machine-code or lower-level form so that they can be read and executed by a computer.,"??????-???? ???? ??-????? ???????? ??????? ???????????, ?????? ???? ??????????? ????? ????? ???? ???????."
Interpreter,"a person who interprets, especially one who translates speech orally or into sign language.","???????? ???????, ??????????? ????????? ???????? ??????? ???? ????? ????? ????????????",a program that can analyse and execute a program line by line.,"?? ?????????? ?????? ???????????, ???? ???????."
Pointer,"a long, thin piece of metal on a scale or dial which moves to indicate a figure or position.","?? ???????, ?????? ????? ?? ????? ???? ????????? ???????????? ????? ????? ???? ????",a variable whose value is the address of another variable,????????? ????????? ???? ????????? ????? ????????
